trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
22,2025-09-10T01:02:10,170,1.085274,0.166123,0.41141176470588237,0.14718785263054238,0.2067959475176471,0.41141176470588237,0.13115061506150616,0.19889659879422136,sweeps/runs/run_trial22_k170_k11.0853_b0.1661.txt
23,2025-09-10T01:02:31,196,2.0,0.429246,0.39173469387755105,0.16042970821871222,0.21655760657770448,0.391734693877551,0.14397689768976898,0.21056384379113646,sweeps/runs/run_trial23_k196_k12.0_b0.4292.txt
24,2025-09-10T01:02:52,200,1.741736,0.95,0.3346,0.14267668014575274,0.1903433182001047,0.3346,0.1254875487548755,0.18252236526292823,sweeps/runs/run_trial24_k200_k11.7417_b0.95.txt
25,2025-09-10T01:03:14,200,2.0,0.759462,0.377,0.15711042942246334,0.2112234165748333,0.377,0.14138913891389138,0.20565132009600698,sweeps/runs/run_trial25_k200_k12.0_b0.7595.txt
26,2025-09-10T01:03:35,165,1.814551,0.367476,0.41345454545454546,0.14437582966121182,0.2040594124872466,0.41345454545454546,0.12792529252925292,0.19539439766282865,sweeps/runs/run_trial26_k165_k11.8146_b0.3675.txt
27,2025-09-10T01:03:55,162,1.425608,0.380614,0.41703703703703704,0.1432780971516665,0.20341672554787935,0.41703703703703704,0.12668766876687668,0.19433897134967207,sweeps/runs/run_trial27_k162_k11.4256_b0.3806.txt
28,2025-09-10T01:04:16,200,1.405241,0.546558,0.39149999999999996,0.16403619162773087,0.21986996701608,0.3915,0.14682718271827183,0.21356098625354572,sweeps/runs/run_trial28_k200_k11.4052_b0.5466.txt
29,2025-09-10T01:04:36,200,1.182017,0.486153,0.3907,0.16354466699045794,0.219265990690526,0.3907,0.14652715271527153,0.21312459087933666,sweeps/runs/run_trial29_k200_k11.182_b0.4862.txt
30,2025-09-10T01:05:19,138,1.037843,0.418097,0.43811594202898546,0.1292757643735478,0.19112409744152675,0.4381159420289855,0.11337383738373838,0.18013347634370158,sweeps/runs/run_trial30_k138_k11.0378_b0.4181.txt
31,2025-09-10T01:05:40,200,1.850827,0.541962,0.3897,0.1633926981327374,0.21893437495804277,0.3897,0.14615211521152116,0.21257909666157537,sweeps/runs/run_trial31_k200_k11.8508_b0.542.txt
32,2025-09-10T01:06:00,200,1.474223,0.843546,0.36869999999999997,0.1546742230673521,0.20750879777200446,0.3687,0.13827632763276326,0.20112371808858825,sweeps/runs/run_trial32_k200_k11.4742_b0.8435.txt
33,2025-09-10T01:06:41,200,1.528882,0.242097,0.39,0.16272679458854092,0.21842859620268018,0.39,0.14626462646264626,0.21274274492690376,sweeps/runs/run_trial33_k200_k11.5289_b0.2421.txt
34,2025-09-10T01:07:02,200,1.594592,0.95,0.3392,0.14474428905689554,0.19303362786876954,0.3392,0.1272127212721272,0.18503163866463018,sweeps/runs/run_trial34_k200_k11.5946_b0.95.txt
35,2025-09-10T01:07:23,198,2.0,0.41578,0.3897979797979798,0.1612632739037144,0.21700007815218803,0.3897979797979798,0.14472697269726972,0.2110819385187616,sweeps/runs/run_trial35_k198_k12.0_b0.4158.txt
36,2025-09-10T01:07:43,200,1.47446,0.339611,0.3912,0.16338721303982998,0.2192637740063502,0.3912,0.1467146714671467,0.2133973379882173,sweeps/runs/run_trial36_k200_k11.4745_b0.3396.txt
37,2025-09-10T01:08:05,125,1.305349,0.95,0.38944,0.10525631628808223,0.1591266637511924,0.38944,0.09128412841284128,0.14790058941483866,sweeps/runs/run_trial37_k125_k11.3053_b0.95.txt
38,2025-09-10T01:08:27,200,1.906435,0.1,0.38589999999999997,0.1611243966290737,0.2162190548561603,0.3859,0.14472697269726972,0.21050621863408245,sweeps/runs/run_trial38_k200_k11.9064_b0.1.txt
39,2025-09-10T01:08:49,200,1.325998,0.95,0.3472,0.14780798128173311,0.19725076602758684,0.3472,0.13021302130213022,0.1893955924067205,sweeps/runs/run_trial39_k200_k11.326_b0.95.txt
40,2025-09-10T01:09:08,47,1.805778,0.353678,0.5361702127659574,0.05543921987247268,0.09810866302817241,0.5361702127659574,0.047254725472547256,0.08685462190666575,sweeps/runs/run_trial40_k47_k11.8058_b0.3537.txt
41,2025-09-10T01:09:51,171,1.058706,0.76041,0.4016374269005848,0.14543372692825207,0.20361207856722907,0.4016374269005848,0.12878787878787878,0.1950360652013404,sweeps/runs/run_trial41_k171_k11.0587_b0.7604.txt
42,2025-09-10T01:10:12,200,0.79405,0.443633,0.3887,0.16345688138708372,0.21881130240681354,0.3887,0.14577707770777076,0.21203360244381408,sweeps/runs/run_trial42_k200_k10.7941_b0.4436.txt
43,2025-09-10T01:10:33,199,1.402681,0.522839,0.391356783919598,0.16333234015622292,0.21917783276013622,0.391356783919598,0.14603960396039603,0.21270552247774077,sweeps/runs/run_trial43_k199_k11.4027_b0.5228.txt
44,2025-09-10T01:10:54,200,2.0,0.287382,0.3875,0.16177010808800837,0.2171071535439093,0.3875,0.14532703270327033,0.21137900938250054,sweeps/runs/run_trial44_k200_k12.0_b0.2874.txt
45,2025-09-10T01:11:15,200,1.044384,0.95,0.354,0.15033096267897103,0.20059999331697553,0.354,0.13276327632763277,0.19310495308749728,sweeps/runs/run_trial45_k200_k11.0444_b0.95.txt
46,2025-09-10T01:11:35,200,1.617775,0.497499,0.3921,0.1641301131935703,0.2200500409444439,0.3921,0.14705220522052206,0.2138882827842025,sweeps/runs/run_trial46_k200_k11.6178_b0.4975.txt
47,2025-09-10T01:12:00,183,1.632816,0.531659,0.4015300546448088,0.15490693169116365,0.21293792127297642,0.40153005464480873,0.1377887788778878,0.20517116211537387,sweeps/runs/run_trial47_k183_k11.6328_b0.5317.txt
