trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
30,2025-09-10T09:19:06,20,1.275248,0.168864,0.622,0.02798758764895438,0.05283687239146559,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial30_k20_k11.2752_b0.1689.txt
31,2025-09-10T09:19:27,20,0.928961,0.222474,0.627,0.028351931226117445,0.05350587991361663,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial31_k20_k10.929_b0.2225.txt
32,2025-09-10T09:19:48,20,1.307811,0.083423,0.62,0.02795618916481482,0.05275784492802346,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial32_k20_k11.3078_b0.0834.txt
33,2025-09-10T09:20:09,20,1.209026,0.214788,0.611,0.027405232534202285,0.05174929187737807,0.611,0.022914791479147916,0.04417293233082707,sweeps/runsk20/run_trial33_k20_k11.209_b0.2148.txt
34,2025-09-10T09:20:29,20,1.003845,0.153192,0.627,0.028304138098496107,0.05341762705798513,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial34_k20_k11.0038_b0.1532.txt
35,2025-09-10T09:20:50,20,0.8,0.151682,0.632,0.028752142095219323,0.05424217177814567,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial35_k20_k10.8_b0.1517.txt
36                36,2025-09-10T09:21:11,20,0.8,0.083869,0.636,0.0290438371295422,0.05478127343152803,0.636,0.023852385238523854,0.045980335454019666,sweeps/runsk20/run_trial36_k20_k10.8_b0.0839.txt
37,2025-09-10T09:21:32,20,0.995144,0.036122,0.619,0.028189310747755478,0.05316816096377799,0.619,0.023214821482148214,0.04475130133024869,sweeps/runsk20/run_trial37_k20_k10.9951_b0.0361.txt
38,2025-09-10T09:21:53,20,0.969472,0.06166,0.626,0.028450597515830522,0.05367017374820047,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial38_k20_k10.9695_b0.0617.txt
39,2025-09-10T09:22:13,20,0.813385,0.0159,0.625,0.028691935013489475,0.054096242644909254,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial39_k20_k10.8134_b0.0159.txt
40,2025-09-10T09:22:34,20,0.8,0.137188,0.632,0.028748945130763284,0.054236173036897935,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial40_k20_k10.8_b0.1372.txt
41,2025-09-10T09:22:55,20,1.17823,0.102477,0.628,0.028380536175606128,0.053555207073930966,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial41_k20_k11.1782_b0.1025.txt
42            42,2025-09-10T09:23:16,20,0.8,0.074968,0.633,0.028950395004533794,0.054600051911144976,0.633,0.02373987398739874,0.045763447079236554,sweeps/runsk20/run_trial42_k20_k10.8_b0.075.txt
43,2025-09-10T09:23:36,20,1.149887,0.0,0.616,0.027969177441021467,0.0527530962974931,0.616,0.0231023102310231,0.04453441295546559,sweeps/runsk20/run_trial43_k20_k11.1499_b0.0.txt
44,2025-09-10T09:23:58,20,0.930375,0.219109,0.627,0.028351931226117445,0.05350587991361663,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial44_k20_k10.9304_b0.2191.txt
45,2025-09-10T09:24:19,20,0.812628,0.033266,0.625,0.02870453825876653,0.054119243615045914,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial45_k20_k10.8126_b0.0333.txt
46        46,2025-09-10T09:24:40,20,0.852132,0.063414,0.631,0.02880255361810892,0.054321379756289846,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial46_k20_k10.8521_b0.0634.txt
47,2025-09-10T09:25:01,20,1.357348,0.302106,0.612,0.027541827006181352,0.05201001623085064,0.612,0.022952295229522954,0.04424522845575478,sweeps/runsk20/run_trial47_k20_k11.3573_b0.3021.txt
48,2025-09-10T09:25:22,20,0.8,0.019255,0.626,0.0287348534684251,0.05417854717165822,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial48_k20_k10.8_b0.0193.txt
49,2025-09-10T09:25:43,20,0.907073,0.011219,0.62,0.02831750059157003,0.05340205718800699,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial49_k20_k10.9071_b0.0112.txt
50        50,2025-09-10T09:26:04,20,0.8,0.095931,0.634,0.028903418191355876,0.05452211751537232,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial50_k20_k10.8_b0.0959.txt
51,2025-09-10T09:26:25,20,0.81182,0.010268,0.623,0.02857707411251069,0.05387970993024082,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial51_k20_k10.8118_b0.0103.txt
52,2025-09-10T09:26:46,20,1.052388,0.088434,0.626,0.02838547821157915,0.05355713308707325,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial52_k20_k11.0524_b0.0884.txt
53,2025-09-10T09:27:06,20,0.823927,0.146107,0.632,0.02876613997432855,0.05426796814320332,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial53_k20_k10.8239_b0.1461.txt
54                54,2025-09-10T09:27:28,20,0.8,0.078275,0.635,0.029015224826251785,0.05472564060816224,0.635,0.023814881488148816,0.04590803932909197,sweeps/runsk20/run_trial54_k20_k10.8_b0.0783.txt
55                55,2025-09-10T09:27:49,20,0.824421,0.054306,0.631,0.028828689128611217,0.054370068684566474,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial55_k20_k10.8244_b0.0543.txt
56,2025-09-10T09:28:10,20,0.8,0.051442,0.63,0.028798659098581182,0.0543117596466656,0.63,0.023627362736273628,0.04554655870445344,sweeps/runsk20/run_trial56_k20_k10.8_b0.0514.txt
57,2025-09-10T09:28:31,20,0.914246,0.038772,0.626,0.028601427168438845,0.053939111212366,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial57_k20_k10.9142_b0.0388.txt
58,2025-09-10T09:28:52,20,0.848472,0.014281,0.625,0.028693859607881206,0.054099775028031524,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial58_k20_k10.8485_b0.0143.txt
59,2025-09-10T09:29:15,20,0.8,0.0,0.622,0.028470437007895533,0.05368779879558971,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial59_k20_k10.8_b0.0.txt
60,2025-09-10T09:29:39,20,0.878324,0.02752,0.622,0.028475706497433754,0.05369548079750491,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial60_k20_k10.8783_b0.0275.txt6
61        61,2025-09-10T09:30:02,20,0.800803,0.12191,0.635,0.028892549760454463,0.054509393052582275,0.635,0.023814881488148816,0.04590803932909197,sweeps/runsk20/run_trial61_k20_k10.8008_b0.1219.txt
62        62,2025-09-10T09:30:25,20,0.853495,0.075156,0.633,0.028938425805417084,0.0545777576068669,0.633,0.02373987398739874,0.045763447079236554,sweeps/runsk20/run_trial62_k20_k10.8535_b0.0752.txt
63,2025-09-10T09:30:48,20,0.969841,0.048316,0.624,0.028377237660590485,0.05352878502647365,0.624,0.023402340234023402,0.045112781954887216,sweeps/runsk20/run_trial63_k20_k10.9698_b0.0483.txt
64,2025-09-10T09:31:11,20,0.8,0.36562,0.632,0.028487190498395702,0.053783054997137085,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial64_k20_k10.8_b0.3656.txt
65,2025-09-10T09:31:34,20,1.090743,0.0,0.617,0.028044083808062666,0.05289246911979275,0.617,0.02313981398139814,0.0446067090803933,sweeps/runsk20/run_trial65_k20_k11.0907_b0.0.txt
66,2025-09-10T09:31:56,20,0.8,0.138459,0.633,0.02878295873620546,0.05430196251058214,0.633,0.02373987398739874,0.045763447079236554,sweeps/runsk20/run_trial66_k20_k10.8_b0.1385.txt
67,2025-09-10T09:32:19,20,1.341466,0.065855,0.616,0.027936426124783097,0.05270384880164936,0.616,0.0231023102310231,0.04453441295546559,sweeps/runsk20/run_trial67_k20_k11.3415_b0.0659.txt
68,2025-09-10T09:32:42,20,0.909437,0.084462,0.628,0.028653089343450303,0.054044484730222074,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial68_k20_k10.9094_b0.0845.txt
69        69,2025-09-10T09:33:05,20,0.8,0.067449,0.634,0.02896485632051355,0.05462856224614141,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial69_k20_k10.8_b0.0674.txt
70,2025-09-10T09:33:28,20,0.8,0.097625,0.635,0.02893409303798164,0.05458164132489614,0.635,0.023814881488148816,0.04590803932909197,sweeps/runsk20/run_trial70_k20_k10.8_b0.0976.txt
71,2025-09-10T09:33:50,20,1.022915,0.118193,0.628,0.028423384523927172,0.05363352859379224,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial71_k20_k11.0229_b0.1182.txt
72,2025-09-10T09:34:13,20,0.852214,0.153585,0.631,0.028640236047781386,0.05403823268623115,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial72_k20_k10.8522_b0.1536.txt
73,2025-09-10T09:34:36,20,0.990666,0.041558,0.623,0.028327923221939954,0.05343593442706518,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial73_k20_k10.9907_b0.0416.txt
74,2025-09-10T09:34:58,20,0.881174,0.101332,0.631,0.02875028250421147,0.05423134146442992,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial74_k20_k10.8812_b0.1013.txt
75,2025-09-10T09:35:23,20,1.188187,0.154521,0.63,0.028396609445211714,0.05359444947802069,0.63,0.023627362736273628,0.04554655870445344,sweeps/runsk20/run_trial75_k20_k11.1882_b0.1545.txt
76,2025-09-10T09:35:46,20,1.119458,0.0,0.617,0.028044083808062666,0.05289246911979275,0.617,0.02313981398139814,0.0446067090803933,sweeps/runsk20/run_trial76_k20_k11.1195_b0.0.txt
77,2025-09-10T09:36:12,20,1.051535,0.233469,0.619,0.02770588272660217,0.05232150888808447,0.619,0.023214821482148214,0.04475130133024869,sweeps/runsk20/run_trial77_k20_k11.0515_b0.2335.txt
78        78,2025-09-10T09:36:35,20,0.8,0.069205,0.634,0.02896485632051355,0.05462856224614141,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial78_k20_k10.8_b0.0692.txt
79,2025-09-10T09:36:58,20,0.984164,0.08732,0.629,0.02847520061298948,0.05373054053748488,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial79_k20_k10.9842_b0.0873.txt
80,2025-09-10T09:37:21,20,0.8,0.044237,0.632,0.028925320300359755,0.054545721124097585,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial80_k20_k10.8_b0.0442.txt
81,2025-09-10T09:37:48,20,1.023617,0.142095,0.627,0.02832692487332616,0.053459872601277464,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial81_k20_k11.0236_b0.1421.txt
82,2025-09-10T09:38:12,20,1.336343,0.081786,0.622,0.028060335101796577,0.052955627367340205,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial82_k20_k11.3363_b0.0818.txt
83,2025-09-10T09:38:36,20,0.854492,0.068146,0.632,0.02888805729967885,0.05448067924484607,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial83_k20_k10.8545_b0.0681.txt
84,2025-09-10T09:38:58,20,1.093595,0.0,0.617,0.028044083808062666,0.05289246911979275,0.617,0.02313981398139814,0.0446067090803933,sweeps/runsk20/run_trial84_k20_k11.0936_b0.0.txt
85,2025-09-10T09:39:20,20,0.891818,0.151022,0.629,0.028493739434067147,0.05376647286084404,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial85_k20_k10.8918_b0.151.txt
86        86,2025-09-10T09:39:41,20,0.8,0.11643,0.636,0.028992091332620658,0.05469033337268678,0.636,0.023852385238523854,0.045980335454019666,sweeps/runsk20/run_trial86_k20_k10.8_b0.1164.txt
87,2025-09-10T09:40:04,20,0.929165,0.06301,0.629,0.02863079578706871,0.054005365683262474,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial87_k20_k10.9292_b0.063.txt
88,2025-09-10T09:40:26,20,1.24545,0.062179,0.618,0.028051813950109347,0.052918856693367565,0.618,0.023177317731773176,0.04467900520532099,sweeps/runsk20/run_trial88_k20_k11.2455_b0.0622.txt
