trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
27,2025-09-10T02:30:10,20,1.558692,0.3,0.606,0.02717293293790171,0.05132308453006864,0.606,0.022727272727272728,0.04381145170618855,sweeps/runsk20/run_trial27_k20_k11.5587_b0.3.txt
28,2025-09-10T02:30:33,20,1.406107,0.3,0.613,0.027572691203712217,0.0520698964703716,0.613,0.02298979897989799,0.04431752458068248,sweeps/runsk20/run_trial28_k20_k11.4061_b0.3.txt
29,2025-09-10T02:30:57,20,2.0,0.3,0.595,0.026757117320889357,0.05053490245895751,0.595,0.022314731473147314,0.0430161943319838,sweeps/runsk20/run_trial29_k20_k12.0_b0.3.txt
30,2025-09-10T02:31:18,20,1.299188,0.360407,0.622,0.027866916327587886,0.05263834788288484,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial30_k20_k11.2992_b0.3604.txt
31,2025-09-10T02:31:40,20,1.0,0.75,0.595,0.02737319198101312,0.0516007293887397,0.595,0.022314731473147314,0.0430161943319838,sweeps/runsk20/run_trial31_k20_k11.0_b0.75.txt
32,2025-09-10T02:32:02,20,1.0,0.350655,0.623,0.027813943090196903,0.052533662333188055,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial32_k20_k11.0_b0.3507.txt
33,2025-09-10T02:32:27,20,1.111552,0.495644,0.618,0.027711034501682375,0.052337746319028246,0.618,0.023177317731773176,0.04467900520532099,sweeps/runsk20/run_trial33_k20_k11.1116_b0.4956.txt
34,2025-09-10T02:32:51,20,1.15537,0.361144,0.62,0.02777834283474184,0.0524589162561144,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial34_k20_k11.1554_b0.3611.txt
35,2025-09-10T02:33:16,20,1.0,0.326613,0.624,0.027845943933344167,0.052594958943533235,0.624,0.023402340234023402,0.045112781954887216,sweeps/runsk20/run_trial35_k20_k11.0_b0.3266.txt
36,2025-09-10T02:33:41,20,1.202907,0.300423,0.622,0.027984303442318885,0.05284202528665269,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial36_k20_k11.2029_b0.3004.txt
37,2025-09-10T02:34:05,20,1.110864,0.499951,0.619,0.027735072963220832,0.05238469467583576,0.619,0.023214821482148214,0.04475130133024869,sweeps/runsk20/run_trial37_k20_k11.1109_b0.5.txt
38,2025-09-10T02:34:28,20,1.037918,0.352043,0.622,0.02781503419605027,0.05253147399972044,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial38_k20_k11.0379_b0.352.txt
39,2025-09-10T02:34:50,20,1.0,0.475494,0.625,0.027961358875230956,0.05281358575521314,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial39_k20_k11.0_b0.4755.txt
40,2025-09-10T02:35:11,20,1.420137,0.438824,0.614,0.027643779900193004,0.05220509587869181,0.614,0.023027302730273026,0.044389820705610185,sweeps/runsk20/run_trial40_k20_k11.4201_b0.4388.txt
41,2025-09-10T02:35:35,20,1.012213,0.733062,0.598,0.027324898590348316,0.0515325069726677,0.598,0.022427242724272427,0.043233082706766915,sweeps/runsk20/run_trial41_k20_k11.0122_b0.7331.txt
42,2025-09-10T02:36:00,20,1.152179,0.3,0.624,0.02808081248605137,0.05301745550447769,0.624,0.023402340234023402,0.045112781954887216,sweeps/runsk20/run_trial42_k20_k11.1522_b0.3.txt
43,2025-09-10T02:36:24,20,1.214988,0.465143,0.615,0.027526115746089968,0.051991077389909546,0.615,0.023064806480648063,0.044462116830537884,sweeps/runsk20/run_trial43_k20_k11.215_b0.4651.txt
